id,zip,lat,lng,city,state_id,state_name,county_name,county_names_all,timezone
136,976,18.33844,-65.99209,Trujillo Alto,PR,Puerto Rico,Trujillo Alto,Trujillo Alto|Carolina|San Juan,America/Puerto_Rico
137,979,18.43651,-66.017,Carolina,PR,Puerto Rico,Carolina,Carolina,America/Puerto_Rico
138,982,18.40992,-65.9917,Carolina,PR,Puerto Rico,Carolina,Carolina,America/Puerto_Rico
139,983,18.41804,-65.97631,Carolina,PR,Puerto Rico,Carolina,Carolina,America/Puerto_Rico
140,985,18.40825,-65.94842,Carolina,PR,Puerto Rico,Carolina,Carolina,America/Puerto_Rico
141,987,18.33934,-65.94312,Carolina,PR,Puerto Rico,Carolina,Carolina|Trujillo Alto,America/Puerto_Rico
142,1001,42.06259,-72.62589,Agawam,MA,Massachusetts,Hampden,Hampden,America/New_York
143,1002,42.37492,-72.4621,Amherst,MA,Massachusetts,Hampshire,Hampshire|Franklin,America/New_York
144,1003,42.39192,-72.52479,Amherst,MA,Massachusetts,Hampshire,Hampshire,America/New_York
145,1005,42.42017,-72.10615,Barre,MA,Massachusetts,Worcester,Worcester,America/New_York
146,1007,42.27875,-72.40036,Belchertown,MA,Massachusetts,Hampshire,Hampshire,America/New_York
147,1008,42.18428,-72.95203,Blandford,MA,Massachusetts,Hampden,Hampden,America/New_York
148,1009,42.20972,-72.33971,Bondsville,MA,Massachusetts,Hampden,Hampden,America/New_York
149,1010,42.12863,-72.20624,Brimfield,MA,Massachusetts,Hampden,Hampden,America/New_York
150,1011,42.29652,-72.95968,Chester,MA,Massachusetts,Hampden,Hampden|Hampshire,America/New_York
151,1012,42.38699,-72.84634,Chesterfield,MA,Massachusetts,Hampshire,Hampshire,America/New_York
152,1013,42.1595,-72.60825,Chicopee,MA,Massachusetts,Hampden,Hampden,America/New_York
153,1020,42.17637,-72.56538,Chicopee,MA,Massachusetts,Hampden,Hampden,America/New_York
154,1022,42.19731,-72.54267,Chicopee,MA,Massachusetts,Hampden,Hampden,America/New_York
155,1026,42.4633,-72.92024,Cummington,MA,Massachusetts,Hampshire,Hampshire,America/New_York
156,1027,42.29508,-72.74309,Easthampton,MA,Massachusetts,Hampshire,Hampshire,America/New_York
157,1028,42.05968,-72.49908,East Longmeadow,MA,Massachusetts,Hampden,Hampden,America/New_York
158,1029,42.19632,-73.04836,East Otis,MA,Massachusetts,Berkshire,Berkshire,America/New_York
159,1030,42.06886,-72.67998,Feeding Hills,MA,Massachusetts,Hampden,Hampden,America/New_York
160,1031,42.32934,-72.19822,Gilbertville,MA,Massachusetts,Worcester,Worcester,America/New_York
161,1032,42.45031,-72.81299,Goshen,MA,Massachusetts,Hampshire,Hampshire,America/New_York
162,1033,42.26081,-72.50363,Granby,MA,Massachusetts,Hampshire,Hampshire,America/New_York
163,1034,42.08485,-72.95765,Granville,MA,Massachusetts,Hampden,Hampden,America/New_York
164,1035,42.35564,-72.56921,Hadley,MA,Massachusetts,Hampshire,Hampshire,America/New_York
165,1036,42.06369,-72.4159,Hampden,MA,Massachusetts,Hampden,Hampden,America/New_York
166,1037,42.37011,-72.19771,Hardwick,MA,Massachusetts,Worcester,Worcester,America/New_York
167,1038,42.38548,-72.60701,Hatfield,MA,Massachusetts,Hampshire,Hampshire,America/New_York
168,1039,42.40629,-72.69363,Haydenville,MA,Massachusetts,Hampshire,Hampshire|Franklin,America/New_York
169,1040,42.21256,-72.64107,Holyoke,MA,Massachusetts,Hampden,Hampden,America/New_York
170,1050,42.28784,-72.86986,Huntington,MA,Massachusetts,Hampshire,Hampshire|Hampden,America/New_York
171,1053,42.35347,-72.71162,Leeds,MA,Massachusetts,Hampshire,Hampshire,America/New_York
172,1054,42.47363,-72.48746,Leverett,MA,Massachusetts,Franklin,Franklin,America/New_York
173,1056,42.19211,-72.45804,Ludlow,MA,Massachusetts,Hampden,Hampden,America/New_York
174,1057,42.09164,-72.32432,Monson,MA,Massachusetts,Hampden,Hampden,America/New_York
175,1060,42.32229,-72.63128,Northampton,MA,Massachusetts,Hampshire,Hampshire,America/New_York
176,1062,42.32188,-72.69278,Florence,MA,Massachusetts,Hampshire,Hampshire,America/New_York
177,1063,42.31901,-72.63905,Northampton,MA,Massachusetts,Hampshire,Hampshire,America/New_York
178,1066,42.40763,-72.6548,North Hatfield,MA,Massachusetts,Hampshire,Hampshire,America/New_York
179,1068,42.35002,-72.04606,Oakham,MA,Massachusetts,Worcester,Worcester,America/New_York
180,1069,42.18807,-72.30555,Palmer,MA,Massachusetts,Hampden,Hampden,America/New_York
181,1070,42.51853,-72.92391,Plainfield,MA,Massachusetts,Hampshire,Hampshire,America/New_York
182,1071,42.16035,-72.86,Russell,MA,Massachusetts,Hampden,Hampden,America/New_York
183,1072,42.45737,-72.41841,Shutesbury,MA,Massachusetts,Franklin,Franklin,America/New_York
184,1073,42.23083,-72.73857,Southampton,MA,Massachusetts,Hampshire,Hampshire,America/New_York
185,1074,42.38672,-72.09404,South Barre,MA,Massachusetts,Worcester,Worcester,America/New_York
186,1075,42.25674,-72.57923,South Hadley,MA,Massachusetts,Hampshire,Hampshire,America/New_York
187,1077,42.05437,-72.77851,Southwick,MA,Massachusetts,Hampden,Hampden,America/New_York
188,1079,42.19437,-72.33014,Thorndike,MA,Massachusetts,Hampden,Hampden,America/New_York
189,1080,42.18206,-72.36564,Three Rivers,MA,Massachusetts,Hampden,Hampden,America/New_York
